#, Source, Destination, Nb sommets traités classique, Nb sommets traités bidirectionnel
336,6206,3994,2269,1428
337,6428,2465,4524,2031
338,7738,9149,2931,1539
339,5281,930,3364,2486
340,8019,3779,7347,5775
341,25,2839,3425,1665
342,8143,236,563,391
343,3259,2717,3824,2778
344,3271,2890,5116,3606
345,825,5825,7947,6715
346,3228,8050,2838,1109
347,6782,263,4865,3002
348,199,1231,9576,5931
349,6807,7353,9178,7260
350,30,2889,8463,6440
351,895,5055,6091,3462
352,8995,9308,3446,2312
353,7155,2600,5530,4278
354,342,201,4855,3692
355,1268,5699,7018,3389
356,2427,838,3279,2256
357,6234,7884,8111,6510
358,7142,4274,3132,1357
359,6789,9958,9292,6531
360,195,6937,2242,1530
361,1359,9969,4531,1868
362,6306,9856,8778,6410
363,6878,3561,6094,4353
364,8767,398,7380,4800
365,342,123,9027,6052
366,1744,5992,9420,5439
367,298,1204,9984,5872
368,4983,3031,2149,1628
369,642,6343,6676,5537
370,55,5255,7388,4210
371,5369,2443,6111,5176
372,5124,2271,7641,6065
373,3854,1743,2486,1581
374,8803,7592,6638,3265
375,8378,1131,9592,7408
376,2576,2235,7677,6165
377,9601,8916,1617,833
378,6287,2716,7086,5635
379,7921,3371,8964,3725
380,2842,2285,9563,5975
381,1992,4180,8488,5648
382,4937,8960,1248,632
383,5314,3150,2394,2058
384,511,2077,8434,6160
385,2463,7923,3004,1090
386,4401,9772,5548,4416
387,5987,3133,7920,6753
388,2849,320,9529,4133
389,4167,963,2872,1898
390,7897,2257,9205,7018
391,9870,9775,7042,4808
392,5220,1203,388,184
393,6962,350,2656,1997
394,3446,8216,9390,6803
395,2508,1347,5445,4322
396,9995,1471,4026,2148
397,1970,6040,9706,7563
398,7757,3303,8139,4951
399,7002,2706,133,72
400,6351,1428,8303,6013
401,3693,975,6494,3910
402,2806,6412,7339,6106
403,2183,2255,1170,842
404,7064,8159,4045,2150
405,6971,61,4092,2382
406,7692,6385,726,478
407,6515,1016,5181,3973
408,8961,9766,9170,5848
409,4789,4370,7536,4137
410,8859,6984,1401,1197
411,1602,8916,149,81
412,9688,7592,3137,2589
413,5192,1900,1021,821
414,4512,7711,4860,1847
415,7495,1092,865,497
416,2011,63,8687,6884
417,1360,4976,2079,1177
418,3628,5899,6020,4771
419,9736,9332,9447,5273
420,75,1199,7739,6112
421,1677,6975,2916,1876
422,1489,3421,3042,1768
423,8256,664,7334,6266
424,2076,3862,3265,2626
425,3200,5876,7111,3594
426,2082,738,1428,871
427,5080,9985,1927,1193
428,6115,524,6261,3202
429,1262,1331,2415,856
430,9111,6412,5137,3508
431,5308,2520,4502,2310
432,5110,866,4641,4012
433,8539,6393,9295,6289
434,4166,8604,9368,6740
435,7163,2863,4457,3899
436,6415,1540,2166,1173
437,8928,5936,629,518
438,4363,7785,3643,2250
439,9927,6661,6513,4611
440,4153,5433,9025,4484
441,7638,6233,1868,1570
442,1664,8920,5,7
443,6913,2448,5389,2767
444,1680,1247,2400,2009
445,1288,1057,7126,5433
446,4213,8324,1340,720
447,2382,6306,8636,4867
448,7909,8081,7323,3741
449,7428,7198,8085,5677
450,8073,4212,2102,1306
451,9988,2086,6919,5940
452,5624,2659,2198,1138
453,1722,8609,2157,1913
454,4110,9273,3260,2096
455,3292,3857,8844,6456
456,6955,7809,1283,750
457,3227,1316,6083,3516
458,8552,5022,5212,2490
459,1153,4771,9206,7024
460,213,6821,6569,3533
461,2410,9819,9474,5871
462,2254,8696,4091,2240
463,208,533,5296,1716
464,796,2384,3523,2989
465,4766,3380,6651,5946
466,7511,5750,6744,3656
467,8486,4731,9186,6805
468,8649,8990,4804,2366
469,6910,5240,488,272
470,6174,6528,6938,5719
471,9076,1953,3076,2690
472,4232,9508,237,166
473,9427,602,3358,1969
474,3406,1962,5302,4234
475,670,5856,5224,2820
476,1748,915,4846,4066
477,5385,484,9647,6651
478,5014,6159,1998,1724
479,1335,2615,1260,777
480,2799,3508,4984,3569
481,4957,9999,4680,3522
482,7430,4407,3971,1855
483,8277,1667,7886,6592
484,119,3051,2313,898
485,4448,6905,2934,1947
486,3184,4931,9549,5771
487,2579,2313,5642,3141
488,1090,6613,2444,1685
489,1538,6286,2913,2495
490,3159,910,8181,6311
491,330,8089,852,545
492,6115,4796,815,427
493,7,1361,6487,5448
494,6002,6843,8139,5889
495,8198,4923,6998,4648
496,3649,7775,3975,3161
497,2709,7185,327,215
498,3513,6955,7187,6180
499,3447,4834,7959,5956
500,5990,5692,1361,913
501,675,8695,677,620
502,3879,1542,4318,2219
503,4700,9693,9412,5679
504,7854,8153,3205,1389
505,5340,740,4801,2502
506,6886,1758,9690,5773
507,233,147,6107,4352
508,3620,2244,7727,4642
509,9945,9477,3416,1582
510,7605,9313,7388,5282
511,3682,7316,3674,3180
512,6519,6839,3175,1839
513,538,3504,8871,5333
514,4133,5718,2935,2152
515,9805,3004,3008,2456
516,3546,2951,9827,6566
517,5693,9302,7109,5105
518,295,8108,5192,3578
519,8436,8257,6362,4638
520,3487,4530,5274,2952
521,4933,353,7351,6066
522,9167,5408,8428,5949
523,688,2050,9006,5799
524,2651,6559,403,189
525,6228,3877,1048,420
526,8484,6581,2295,1184
527,7118,7447,2474,1113
528,2309,1199,612,409
529,7808,5792,9085,6689
530,2333,3851,1894,1302
531,1629,1653,4224,2830
532,7591,9551,5236,4297
533,8417,7195,5157,3506
534,6228,7610,9777,7155
535,782,3577,6098,2795
536,8907,7189,7912,6496
537,5473,5816,3082,1579
538,6279,6614,4326,3004
539,1698,1722,9408,4278
540,4382,6081,5565,3061
541,9322,2644,2246,1953
542,6545,5274,5278,3006
543,255,5385,6375,3973
544,3663,2347,9376,7399
545,1803,8116,3638,1840
546,1813,9646,9360,5891
547,6651,8897,90,46
548,4528,4665,7788,6224
549,195,361,8224,5949
550,9363,6980,7179,4045
551,927,4201,9815,7173
552,6340,3095,2865,1986
553,2756,9870,7760,6138
554,2704,9604,4334,2351
555,3380,6638,9105,5318
556,4383,7342,3107,2165
557,8928,70,9557,7470
558,6754,3781,5050,4431
559,2313,1292,8648,5834
560,8777,8751,3299,2842
561,5743,1808,7541,5785
562,7537,9669,4421,1783
563,9114,2836,5750,3611
564,3450,6903,636,404
565,9879,4405,846,358
566,7383,2413,4234,2176
567,3978,2036,8060,4679
568,207,7739,3520,2747
569,9586,7718,8277,5920
570,5072,3439,6145,2617
571,9946,1444,4680,4018
572,531,9307,7855,4299
573,3307,4720,528,271
574,874,9305,5536,2984
575,4063,8373,338,296
576,7638,9520,5566,4570
577,8960,25,3957,2533
578,7510,4562,7414,6398
579,6495,4018,7631,5216
580,9705,9807,8828,4594
581,4625,1633,125,78
582,1397,42,1247,522
583,8147,1360,5048,3568
584,1472,1205,1317,637
585,8863,5844,7524,5551
586,5339,11,8534,4777
587,23,3359,4885,3485
588,4046,9018,8062,5718
589,3485,3173,5058,2082
590,158,2956,3678,1989
591,8293,9000,9601,7414
592,9819,4608,2570,2240
593,4834,5266,3594,1938
594,7415,170,479,262
595,9821,5662,3560,2368
596,2769,2915,1264,879
597,3093,2020,4550,2733
598,639,6366,4117,2360
599,8416,2991,5538,3777
600,5274,3577,6792,3695
601,879,3501,607,330
602,1523,7324,2033,1388
603,7839,3682,9816,7217
604,2356,1041,3532,3146
605,9836,5481,97,54
606,6449,9280,8613,6157
607,8352,7737,1182,756
608,236,4597,6817,5284
609,889,8591,8381,4920
610,8312,6608,8249,6454
611,3065,2654,8636,6414
612,2950,3337,5850,2455
613,8023,8800,892,474
614,1787,8638,9801,7094
615,5539,4391,540,340
616,5683,7995,8366,6735
617,854,9892,7431,3499
618,5806,5413,6793,3801
619,3575,6963,8374,6774
620,1448,5475,820,440
621,3530,897,6325,5453
622,6231,2889,8161,5969
623,4020,1323,1488,1029
624,6461,3362,9081,7076
